lad22cd,lad22nm,sex_2,age_common,cob_common,value_21,value_11
E09000016,Havering,Male,Aged 16 to 49,Africa,2609,1900
E09000016,Havering,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",95,104
E09000016,Havering,Male,Aged 16 to 49,Ireland,236,283
E09000016,Havering,Male,Aged 16 to 49,Middle East and Asia,4253,1754
E09000016,Havering,Male,Aged 16 to 49,Rest of Europe,7480,1987
E09000016,Havering,Male,Aged 16 to 49,The Americas and the Caribbean,550,343
E09000016,Havering,Male,Aged 16 to 49,United Kingdom,40246,45433
E09000017,Hillingdon,Female,Aged 16 to 49,Africa,5061,5766
E09000017,Hillingdon,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",195,260
E09000017,Hillingdon,Female,Aged 16 to 49,Ireland,511,693
E09000017,Hillingdon,Female,Aged 16 to 49,Middle East and Asia,19081,12317
E09000017,Hillingdon,Female,Aged 16 to 49,Rest of Europe,11101,6038
E09000017,Hillingdon,Female,Aged 16 to 49,The Americas and the Caribbean,1448,1145
E09000017,Hillingdon,Female,Aged 16 to 49,United Kingdom,37058,43279
E09000017,Hillingdon,Male,Aged 16 to 49,Africa,4218,5113
E09000017,Hillingdon,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",180,250
E09000017,Hillingdon,Male,Aged 16 to 49,Ireland,481,574
E09000017,Hillingdon,Male,Aged 16 to 49,Middle East and Asia,18950,13986
E09000017,Hillingdon,Male,Aged 16 to 49,Rest of Europe,10408,5379
E09000017,Hillingdon,Male,Aged 16 to 49,The Americas and the Caribbean,1077,873
E09000017,Hillingdon,Male,Aged 16 to 49,United Kingdom,38039,43314
E09000018,Hounslow,Female,Aged 16 to 49,Africa,4858,5801
E09000018,Hounslow,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",420,745
E09000018,Hounslow,Female,Aged 16 to 49,Ireland,351,700
E09000018,Hounslow,Female,Aged 16 to 49,Middle East and Asia,21731,16236
E09000018,Hounslow,Female,Aged 16 to 49,Rest of Europe,15449,10068
E09000018,Hounslow,Female,Aged 16 to 49,The Americas and the Caribbean,1796,1425
E09000018,Hounslow,Female,Aged 16 to 49,United Kingdom,28672,32556
E09000018,Hounslow,Male,Aged 16 to 49,Africa,3880,5170
E09000018,Hounslow,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",434,759
E09000018,Hounslow,Male,Aged 16 to 49,Ireland,371,638
E09000018,Hounslow,Male,Aged 16 to 49,Middle East and Asia,22090,19052
E09000018,Hounslow,Male,Aged 16 to 49,Rest of Europe,14378,9373
E09000018,Hounslow,Male,Aged 16 to 49,The Americas and the Caribbean,1488,1138
E09000018,Hounslow,Male,Aged 16 to 49,United Kingdom,30177,34352
E09000019,Islington,Female,Aged 16 to 49,Africa,4663,4656
E09000019,Islington,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",2029,1971
E09000019,Islington,Female,Aged 16 to 49,Ireland,906,1146
E09000019,Islington,Female,Aged 16 to 49,Middle East and Asia,6566,5408
E09000019,Islington,Female,Aged 16 to 49,Rest of Europe,15347,11036
E09000019,Islington,Female,Aged 16 to 49,The Americas and the Caribbean,4893,3832
E09000019,Islington,Female,Aged 16 to 49,United Kingdom,34066,37578
E09000019,Islington,Male,Aged 16 to 49,Africa,3522,3849
E09000019,Islington,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",1736,1832
E09000019,Islington,Male,Aged 16 to 49,Ireland,771,1156
E09000019,Islington,Male,Aged 16 to 49,Middle East and Asia,4774,4705
E09000019,Islington,Male,Aged 16 to 49,Rest of Europe,12646,9546
E09000019,Islington,Male,Aged 16 to 49,The Americas and the Caribbean,3574,3287
E09000019,Islington,Male,Aged 16 to 49,United Kingdom,34281,39960
E09000020,Kensington and Chelsea,Female,Aged 16 to 49,Africa,2499,3181
E09000020,Kensington and Chelsea,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",703,1402
E09000020,Kensington and Chelsea,Female,Aged 16 to 49,Ireland,289,518
E09000020,Kensington and Chelsea,Female,Aged 16 to 49,Middle East and Asia,5978,6700
E09000020,Kensington and Chelsea,Female,Aged 16 to 49,Rest of Europe,11827,11516
E09000020,Kensington and Chelsea,Female,Aged 16 to 49,The Americas and the Caribbean,3558,4859
E09000020,Kensington and Chelsea,Female,Aged 16 to 49,United Kingdom,14167,16755
E09000020,Kensington and Chelsea,Male,Aged 16 to 49,Africa,1883,2807
E09000020,Kensington and Chelsea,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",474,1259
E09000020,Kensington and Chelsea,Male,Aged 16 to 49,Ireland,304,564
E09000020,Kensington and Chelsea,Male,Aged 16 to 49,Middle East and Asia,4610,6124
E09000020,Kensington and Chelsea,Male,Aged 16 to 49,Rest of Europe,9420,11446
E09000020,Kensington and Chelsea,Male,Aged 16 to 49,The Americas and the Caribbean,2607,3951
E09000020,Kensington and Chelsea,Male,Aged 16 to 49,United Kingdom,14818,18733
E09000021,Kingston upon Thames,Female,Aged 16 to 49,Africa,1912,2247
E09000021,Kingston upon Thames,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",332,415
E09000021,Kingston upon Thames,Female,Aged 16 to 49,Ireland,310,391
E09000021,Kingston upon Thames,Female,Aged 16 to 49,Middle East and Asia,7361,6393
E09000021,Kingston upon Thames,Female,Aged 16 to 49,Rest of Europe,7634,5169
E09000021,Kingston upon Thames,Female,Aged 16 to 49,The Americas and the Caribbean,1505,1088
E09000021,Kingston upon Thames,Female,Aged 16 to 49,United Kingdom,23417,26960
E09000021,Kingston upon Thames,Male,Aged 16 to 49,Africa,1741,2252
E09000021,Kingston upon Thames,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",351,409
E09000021,Kingston upon Thames,Male,Aged 16 to 49,Ireland,246,312
E09000021,Kingston upon Thames,Male,Aged 16 to 49,Middle East and Asia,5988,6033
E09000021,Kingston upon Thames,Male,Aged 16 to 49,Rest of Europe,6020,3965
E09000021,Kingston upon Thames,Male,Aged 16 to 49,The Americas and the Caribbean,986,757
E09000021,Kingston upon Thames,Male,Aged 16 to 49,United Kingdom,23297,27583
E09000022,Lambeth,Female,Aged 16 to 49,Africa,7987,10457
E09000022,Lambeth,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",1955,2896
E09000022,Lambeth,Female,Aged 16 to 49,Ireland,1197,1439
E09000022,Lambeth,Female,Aged 16 to 49,Middle East and Asia,5756,4879
E09000022,Lambeth,Female,Aged 16 to 49,Rest of Europe,16634,14578
E09000022,Lambeth,Female,Aged 16 to 49,The Americas and the Caribbean,8894,7527
E09000022,Lambeth,Female,Aged 16 to 49,United Kingdom,55619,52055
E09000022,Lambeth,Male,Aged 16 to 49,Africa,6492,9344
E09000022,Lambeth,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",1759,2827
E09000022,Lambeth,Male,Aged 16 to 49,Ireland,1166,1722
E09000022,Lambeth,Male,Aged 16 to 49,Middle East and Asia,4630,4943
E09000022,Lambeth,Male,Aged 16 to 49,Rest of Europe,14483,14023
E09000022,Lambeth,Male,Aged 16 to 49,The Americas and the Caribbean,7448,6625
E09000022,Lambeth,Male,Aged 16 to 49,United Kingdom,55846,55813
E09000023,Lewisham,Female,Aged 16 to 49,Africa,8310,9609
E09000023,Lewisham,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",822,862
E09000023,Lewisham,Female,Aged 16 to 49,Ireland,665,719
E09000023,Lewisham,Female,Aged 16 to 49,Middle East and Asia,6918,6355
E09000023,Lewisham,Female,Aged 16 to 49,Rest of Europe,14819,10038
E09000023,Lewisham,Female,Aged 16 to 49,The Americas and the Caribbean,6630,4971
E09000023,Lewisham,Female,Aged 16 to 49,United Kingdom,47437,46285
E09000023,Lewisham,Male,Aged 16 to 49,Africa,6403,9031
E09000023,Lewisham,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",715,924
E09000023,Lewisham,Male,Aged 16 to 49,Ireland,630,822
E09000023,Lewisham,Male,Aged 16 to 49,Middle East and Asia,5489,6602
E09000023,Lewisham,Male,Aged 16 to 49,Rest of Europe,12007,9286
E09000023,Lewisham,Male,Aged 16 to 49,The Americas and the Caribbean,4937,3987
E09000023,Lewisham,Male,Aged 16 to 49,United Kingdom,45912,46061
E09000024,Merton,Female,Aged 16 to 49,Africa,4325,6140
E09000024,Merton,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",693,1006
E09000024,Merton,Female,Aged 16 to 49,Ireland,518,585
E09000024,Merton,Female,Aged 16 to 49,Middle East and Asia,7928,7720
E09000024,Merton,Female,Aged 16 to 49,Rest of Europe,12394,8055
E09000024,Merton,Female,Aged 16 to 49,The Americas and the Caribbean,2936,2107
E09000024,Merton,Female,Aged 16 to 49,United Kingdom,26855,28482
E09000024,Merton,Male,Aged 16 to 49,Africa,3919,5960
E09000024,Merton,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",585,876
E09000024,Merton,Male,Aged 16 to 49,Ireland,453,556
E09000024,Merton,Male,Aged 16 to 49,Middle East and Asia,7093,8320
E09000024,Merton,Male,Aged 16 to 49,Rest of Europe,11163,7532
E09000024,Merton,Male,Aged 16 to 49,The Americas and the Caribbean,2243,1579
E09000024,Merton,Male,Aged 16 to 49,United Kingdom,27280,29380
E09000025,Newham,Female,Aged 16 to 49,Africa,8954,12007
E09000025,Newham,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",337,304
E09000025,Newham,Female,Aged 16 to 49,Ireland,388,382
E09000025,Newham,Female,Aged 16 to 49,Middle East and Asia,26431,23756
E09000025,Newham,Female,Aged 16 to 49,Rest of Europe,23121,13954
E09000025,Newham,Female,Aged 16 to 49,The Americas and the Caribbean,3627,2823
E09000025,Newham,Female,Aged 16 to 49,United Kingdom,37020,31064
E09000025,Newham,Male,Aged 16 to 49,Africa,6819,11131
E09000025,Newham,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",318,313
E09000025,Newham,Male,Aged 16 to 49,Ireland,384,408
E09000025,Newham,Male,Aged 16 to 49,Middle East and Asia,27258,37507
E09000025,Newham,Male,Aged 16 to 49,Rest of Europe,24485,14777
E09000025,Newham,Male,Aged 16 to 49,The Americas and the Caribbean,2974,2435
E09000025,Newham,Male,Aged 16 to 49,United Kingdom,39355,32565
E09000026,Redbridge,Female,Aged 16 to 49,Africa,4214,5812
E09000026,Redbridge,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",199,233
E09000026,Redbridge,Female,Aged 16 to 49,Ireland,281,473
E09000026,Redbridge,Female,Aged 16 to 49,Middle East and Asia,20849,17131
E09000026,Redbridge,Female,Aged 16 to 49,Rest of Europe,13908,6527
E09000026,Redbridge,Female,Aged 16 to 49,The Americas and the Caribbean,1249,1318
E09000026,Redbridge,Female,Aged 16 to 49,United Kingdom,36464,38362
E09000026,Redbridge,Male,Aged 16 to 49,Africa,3149,4756
E09000026,Redbridge,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",160,264
E09000026,Redbridge,Male,Aged 16 to 49,Ireland,256,466
E09000026,Redbridge,Male,Aged 16 to 49,Middle East and Asia,19798,19263
E09000026,Redbridge,Male,Aged 16 to 49,Rest of Europe,14314,5540
E09000026,Redbridge,Male,Aged 16 to 49,The Americas and the Caribbean,802,868
E09000026,Redbridge,Male,Aged 16 to 49,United Kingdom,37516,38735
E09000027,Richmond upon Thames,Female,Aged 16 to 49,Africa,1794,2168
