lower_tier_local_authorities_code,hhcomp_common,eth_common,value_21,value_11,value_01
E09000015,Couple/lone parent with no dependent children,Mixed: White and Asian,115,122,111
E09000015,Couple/lone parent with no dependent children,Mixed: White and Black African,58,30,24
E09000015,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,104,91,43
E09000015,Couple/lone parent with no dependent children,Other,1430,413,171
E09000015,Couple/lone parent with no dependent children,White: British,6403,8842,11963
E09000015,Couple/lone parent with no dependent children,White: Irish,852,1010,1320
E09000015,Couple/lone parent with no dependent children,White: Other,2244,1385,1058
E09000016,Couple/lone parent with no dependent children,Asian: Bangladeshi,223,28,19
E09000016,Couple/lone parent with no dependent children,Asian: Chinese,249,132,83
E09000016,Couple/lone parent with no dependent children,Asian: Indian,1017,514,259
E09000016,Couple/lone parent with no dependent children,Asian: Other,355,185,58
E09000016,Couple/lone parent with no dependent children,Asian: Pakistani,285,73,27
E09000016,Couple/lone parent with no dependent children,Black: African,916,270,54
E09000016,Couple/lone parent with no dependent children,Black: Caribbean,583,289,156
E09000016,Couple/lone parent with no dependent children,Black: Other,113,48,8
E09000016,Couple/lone parent with no dependent children,Mixed: Other,117,54,35
E09000016,Couple/lone parent with no dependent children,Mixed: White and Asian,105,56,40
E09000016,Couple/lone parent with no dependent children,Mixed: White and Black African,47,24,14
E09000016,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,108,69,20
E09000016,Couple/lone parent with no dependent children,Other,410,125,31
E09000016,Couple/lone parent with no dependent children,White: British,21483,24356,24501
E09000016,Couple/lone parent with no dependent children,White: Irish,459,468,561
E09000016,Couple/lone parent with no dependent children,White: Other,1429,617,399
E09000017,Couple/lone parent with no dependent children,Asian: Bangladeshi,175,77,34
E09000017,Couple/lone parent with no dependent children,Asian: Chinese,349,265,167
E09000017,Couple/lone parent with no dependent children,Asian: Indian,4758,3154,1608
E09000017,Couple/lone parent with no dependent children,Asian: Other,1448,1003,309
E09000017,Couple/lone parent with no dependent children,Asian: Pakistani,746,427,189
E09000017,Couple/lone parent with no dependent children,Black: African,800,382,156
E09000017,Couple/lone parent with no dependent children,Black: Caribbean,636,430,283
E09000017,Couple/lone parent with no dependent children,Black: Other,125,132,31
E09000017,Couple/lone parent with no dependent children,Mixed: Other,199,123,60
E09000017,Couple/lone parent with no dependent children,Mixed: White and Asian,161,126,120
E09000017,Couple/lone parent with no dependent children,Mixed: White and Black African,68,40,21
E09000017,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,150,114,48
E09000017,Couple/lone parent with no dependent children,Other,1335,409,164
E09000017,Couple/lone parent with no dependent children,White: British,14312,16858,20048
E09000017,Couple/lone parent with no dependent children,White: Irish,870,875,1144
E09000017,Couple/lone parent with no dependent children,White: Other,2412,1362,1013
E09000018,Couple/lone parent with no dependent children,Asian: Bangladeshi,128,87,49
E09000018,Couple/lone parent with no dependent children,Asian: Chinese,342,275,160
E09000018,Couple/lone parent with no dependent children,Asian: Indian,4799,4202,2610
E09000018,Couple/lone parent with no dependent children,Asian: Other,1522,1255,383
E09000018,Couple/lone parent with no dependent children,Asian: Pakistani,1069,729,486
E09000018,Couple/lone parent with no dependent children,Black: African,847,473,215
E09000018,Couple/lone parent with no dependent children,Black: Caribbean,422,334,271
E09000018,Couple/lone parent with no dependent children,Black: Other,100,103,26
E09000018,Couple/lone parent with no dependent children,Mixed: Other,240,171,89
E09000018,Couple/lone parent with no dependent children,Mixed: White and Asian,170,134,114
E09000018,Couple/lone parent with no dependent children,Mixed: White and Black African,140,71,33
E09000018,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,96,71,42
E09000018,Couple/lone parent with no dependent children,Other,1598,646,276
E09000018,Couple/lone parent with no dependent children,White: British,9900,11458,12848
E09000018,Couple/lone parent with no dependent children,White: Irish,578,704,880
E09000018,Couple/lone parent with no dependent children,White: Other,3633,2326,1366
E09000019,Couple/lone parent with no dependent children,Asian: Bangladeshi,232,132,75
E09000019,Couple/lone parent with no dependent children,Asian: Chinese,513,420,265
E09000019,Couple/lone parent with no dependent children,Asian: Indian,527,332,234
E09000019,Couple/lone parent with no dependent children,Asian: Other,596,488,95
E09000019,Couple/lone parent with no dependent children,Asian: Pakistani,100,64,43
E09000019,Couple/lone parent with no dependent children,Black: African,1171,548,371
E09000019,Couple/lone parent with no dependent children,Black: Caribbean,991,692,596
E09000019,Couple/lone parent with no dependent children,Black: Other,199,199,47
E09000019,Couple/lone parent with no dependent children,Mixed: Other,517,263,99
E09000019,Couple/lone parent with no dependent children,Mixed: White and Asian,345,189,99
E09000019,Couple/lone parent with no dependent children,Mixed: White and Black African,127,87,46
E09000019,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,193,122,54
E09000019,Couple/lone parent with no dependent children,Other,1492,494,176
E09000019,Couple/lone parent with no dependent children,White: British,11430,11933,9764
E09000019,Couple/lone parent with no dependent children,White: Irish,1230,1184,1206
E09000019,Couple/lone parent with no dependent children,White: Other,5925,4084,2368
E09000020,Couple/lone parent with no dependent children,Asian: Bangladeshi,80,38,49
E09000020,Couple/lone parent with no dependent children,Asian: Chinese,294,303,187
E09000020,Couple/lone parent with no dependent children,Asian: Indian,328,270,244
E09000020,Couple/lone parent with no dependent children,Asian: Other,635,761,162
E09000020,Couple/lone parent with no dependent children,Asian: Pakistani,121,85,66
E09000020,Couple/lone parent with no dependent children,Black: African,503,331,247
E09000020,Couple/lone parent with no dependent children,Black: Caribbean,418,306,270
E09000020,Couple/lone parent with no dependent children,Black: Other,72,92,37
E09000020,Couple/lone parent with no dependent children,Mixed: Other,240,224,117
E09000020,Couple/lone parent with no dependent children,Mixed: White and Asian,185,172,117
E09000020,Couple/lone parent with no dependent children,Mixed: White and Black African,101,54,48
E09000020,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,133,69,45
E09000020,Couple/lone parent with no dependent children,Other,1459,911,470
E09000020,Couple/lone parent with no dependent children,White: British,5724,7378,7222
E09000020,Couple/lone parent with no dependent children,White: Irish,451,507,601
