lad22cd,lad22nm,age_common,cob_common,value_21,value_11,value_01
E09000024,Merton,Aged 0 to 15,Africa,395,639,690
E09000024,Merton,Aged 0 to 15,"Antarctica, Oceania, and Other",107,150,185
E09000024,Merton,Aged 0 to 15,Ireland,73,42,62
E09000024,Merton,Aged 0 to 15,Middle East and Asia,1357,1443,1202
E09000024,Merton,Aged 0 to 15,Rest of Europe,2493,2329,845
E09000024,Merton,Aged 0 to 15,The Americas and the Caribbean,631,508,453
E09000024,Merton,Aged 0 to 15,United Kingdom,37359,33742,33137
E09000025,Newham,Aged 0 to 15,Africa,795,1865,3799
E09000025,Newham,Aged 0 to 15,"Antarctica, Oceania, and Other",12,29,230
E09000025,Newham,Aged 0 to 15,Ireland,69,82,92
E09000025,Newham,Aged 0 to 15,Middle East and Asia,3352,4449,3648
E09000025,Newham,Aged 0 to 15,Rest of Europe,7923,4645,1133
E09000025,Newham,Aged 0 to 15,The Americas and the Caribbean,392,656,621
E09000025,Newham,Aged 0 to 15,United Kingdom,62319,58168,54322
E09000026,Redbridge,Aged 0 to 15,Africa,350,939,1312
E09000026,Redbridge,Aged 0 to 15,"Antarctica, Oceania, and Other",46,44,76
E09000026,Redbridge,Aged 0 to 15,Ireland,98,77,75
E09000026,Redbridge,Aged 0 to 15,Middle East and Asia,4014,3628,1564
E09000026,Redbridge,Aged 0 to 15,Rest of Europe,5334,3091,672
E09000026,Redbridge,Aged 0 to 15,The Americas and the Caribbean,275,374,262
E09000026,Redbridge,Aged 0 to 15,United Kingdom,58125,54705,47030
E09000027,Richmond upon Thames,Aged 0 to 15,Africa,283,259,252
E09000027,Richmond upon Thames,Aged 0 to 15,"Antarctica, Oceania, and Other",288,347,299
E09000027,Richmond upon Thames,Aged 0 to 15,Ireland,90,84,57
E09000027,Richmond upon Thames,Aged 0 to 15,Middle East and Asia,1234,760,695
E09000027,Richmond upon Thames,Aged 0 to 15,Rest of Europe,2349,1633,1201
E09000027,Richmond upon Thames,Aged 0 to 15,The Americas and the Caribbean,871,772,581
E09000027,Richmond upon Thames,Aged 0 to 15,United Kingdom,34330,33083,29321
E09000028,Southwark,Aged 0 to 15,Africa,703,1642,2927
E09000028,Southwark,Aged 0 to 15,"Antarctica, Oceania, and Other",86,66,138
E09000028,Southwark,Aged 0 to 15,Ireland,68,116,131
E09000028,Southwark,Aged 0 to 15,Middle East and Asia,657,741,643
E09000028,Southwark,Aged 0 to 15,Rest of Europe,2045,1513,828
E09000028,Southwark,Aged 0 to 15,The Americas and the Caribbean,606,915,765
E09000028,Southwark,Aged 0 to 15,United Kingdom,47334,48389,44227
E09000029,Sutton,Aged 0 to 15,Africa,256,365,336
E09000029,Sutton,Aged 0 to 15,"Antarctica, Oceania, and Other",51,47,84
E09000029,Sutton,Aged 0 to 15,Ireland,38,35,54
E09000029,Sutton,Aged 0 to 15,Middle East and Asia,1743,1072,493
E09000029,Sutton,Aged 0 to 15,Rest of Europe,1439,1064,261
E09000029,Sutton,Aged 0 to 15,The Americas and the Caribbean,272,213,132
E09000029,Sutton,Aged 0 to 15,United Kingdom,40183,35192,36285
E09000030,Tower Hamlets,Aged 0 to 15,Africa,283,544,529
E09000030,Tower Hamlets,Aged 0 to 15,"Antarctica, Oceania, and Other",23,45,88
E09000030,Tower Hamlets,Aged 0 to 15,Ireland,65,36,33
E09000030,Tower Hamlets,Aged 0 to 15,Middle East and Asia,1777,2190,3490
E09000030,Tower Hamlets,Aged 0 to 15,Rest of Europe,3259,980,237
E09000030,Tower Hamlets,Aged 0 to 15,The Americas and the Caribbean,301,252,132
E09000030,Tower Hamlets,Aged 0 to 15,United Kingdom,51710,46096,40379
E09000031,Waltham Forest,Aged 0 to 15,Africa,382,1057,1433
E09000031,Waltham Forest,Aged 0 to 15,"Antarctica, Oceania, and Other",41,30,74
E09000031,Waltham Forest,Aged 0 to 15,Ireland,45,91,60
E09000031,Waltham Forest,Aged 0 to 15,Middle East and Asia,817,1624,1231
E09000031,Waltham Forest,Aged 0 to 15,Rest of Europe,3423,3384,928
