date,geography_code,c2021_acctype_6_name,c2021_depch_3_name,c2021_bedrooms_5_name,obs_value
2021,E09000002,"Flat, maisonette or apartment",Aged 0 to 9 years,4 or more bedrooms,148
2021,E09000002,"Flat, maisonette or apartment",Aged 10 to 18 years,1 bedroom,411
2021,E09000002,"Flat, maisonette or apartment",Aged 10 to 18 years,2 bedrooms,3622
2021,E09000002,"Flat, maisonette or apartment",Aged 10 to 18 years,3 bedrooms,2246
2021,E09000002,"Flat, maisonette or apartment",Aged 10 to 18 years,4 or more bedrooms,192
2021,E09000002,A caravan or other mobile or temporary structure,Aged 0 to 9 years,1 bedroom,4
2021,E09000002,A caravan or other mobile or temporary structure,Aged 0 to 9 years,2 bedrooms,11
2021,E09000002,A caravan or other mobile or temporary structure,Aged 0 to 9 years,3 bedrooms,5
2021,E09000002,A caravan or other mobile or temporary structure,Aged 0 to 9 years,4 or more bedrooms,3
2021,E09000002,A caravan or other mobile or temporary structure,Aged 10 to 18 years,1 bedroom,0
2021,E09000002,A caravan or other mobile or temporary structure,Aged 10 to 18 years,2 bedrooms,7
2021,E09000002,A caravan or other mobile or temporary structure,Aged 10 to 18 years,3 bedrooms,2
2021,E09000002,A caravan or other mobile or temporary structure,Aged 10 to 18 years,4 or more bedrooms,0
2021,E09000003,Whole house or bungalow,Aged 0 to 9 years,1 bedroom,129
2021,E09000003,Whole house or bungalow,Aged 0 to 9 years,2 bedrooms,2181
2021,E09000003,Whole house or bungalow,Aged 0 to 9 years,3 bedrooms,10607
2021,E09000003,Whole house or bungalow,Aged 0 to 9 years,4 or more bedrooms,16323
2021,E09000003,Whole house or bungalow,Aged 10 to 18 years,1 bedroom,54
2021,E09000003,Whole house or bungalow,Aged 10 to 18 years,2 bedrooms,1663
2021,E09000003,Whole house or bungalow,Aged 10 to 18 years,3 bedrooms,9900
2021,E09000003,Whole house or bungalow,Aged 10 to 18 years,4 or more bedrooms,18825
2021,E09000003,Whole house or bungalow: Detached,Aged 0 to 9 years,1 bedroom,37
2021,E09000003,Whole house or bungalow: Detached,Aged 0 to 9 years,2 bedrooms,262
2021,E09000003,Whole house or bungalow: Detached,Aged 0 to 9 years,3 bedrooms,1025
2021,E09000003,Whole house or bungalow: Detached,Aged 0 to 9 years,4 or more bedrooms,3864
2021,E09000003,Whole house or bungalow: Detached,Aged 10 to 18 years,1 bedroom,10
2021,E09000003,Whole house or bungalow: Detached,Aged 10 to 18 years,2 bedrooms,187
2021,E09000003,Whole house or bungalow: Detached,Aged 10 to 18 years,3 bedrooms,963
2021,E09000003,Whole house or bungalow: Detached,Aged 10 to 18 years,4 or more bedrooms,5000
2021,E09000003,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,1 bedroom,57
2021,E09000003,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,2 bedrooms,829
2021,E09000003,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,3 bedrooms,5826
2021,E09000003,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,4 or more bedrooms,9418
2021,E09000003,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,1 bedroom,28
2021,E09000003,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,2 bedrooms,607
2021,E09000003,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,3 bedrooms,5422
2021,E09000003,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,4 or more bedrooms,10560
2021,E09000003,Whole house or bungalow: Terraced,Aged 0 to 9 years,1 bedroom,35
2021,E09000003,Whole house or bungalow: Terraced,Aged 0 to 9 years,2 bedrooms,1090
2021,E09000003,Whole house or bungalow: Terraced,Aged 0 to 9 years,3 bedrooms,3756
2021,E09000003,Whole house or bungalow: Terraced,Aged 0 to 9 years,4 or more bedrooms,3041
2021,E09000003,Whole house or bungalow: Terraced,Aged 10 to 18 years,1 bedroom,16
2021,E09000003,Whole house or bungalow: Terraced,Aged 10 to 18 years,2 bedrooms,869
2021,E09000003,Whole house or bungalow: Terraced,Aged 10 to 18 years,3 bedrooms,3515
2021,E09000003,Whole house or bungalow: Terraced,Aged 10 to 18 years,4 or more bedrooms,3265
2021,E09000003,"Flat, maisonette or apartment",Aged 0 to 9 years,1 bedroom,2518
2021,E09000003,"Flat, maisonette or apartment",Aged 0 to 9 years,2 bedrooms,13479
2021,E09000003,"Flat, maisonette or apartment",Aged 0 to 9 years,3 bedrooms,3570
2021,E09000003,"Flat, maisonette or apartment",Aged 0 to 9 years,4 or more bedrooms,495
2021,E09000003,"Flat, maisonette or apartment",Aged 10 to 18 years,1 bedroom,574
2021,E09000003,"Flat, maisonette or apartment",Aged 10 to 18 years,2 bedrooms,7617
2021,E09000003,"Flat, maisonette or apartment",Aged 10 to 18 years,3 bedrooms,3378
2021,E09000003,"Flat, maisonette or apartment",Aged 10 to 18 years,4 or more bedrooms,538
2021,E09000003,A caravan or other mobile or temporary structure,Aged 0 to 9 years,1 bedroom,2
2021,E09000003,A caravan or other mobile or temporary structure,Aged 0 to 9 years,2 bedrooms,17
2021,E09000003,A caravan or other mobile or temporary structure,Aged 0 to 9 years,3 bedrooms,1
2021,E09000003,A caravan or other mobile or temporary structure,Aged 0 to 9 years,4 or more bedrooms,0
2021,E09000003,A caravan or other mobile or temporary structure,Aged 10 to 18 years,1 bedroom,1
2021,E09000003,A caravan or other mobile or temporary structure,Aged 10 to 18 years,2 bedrooms,3
2021,E09000003,A caravan or other mobile or temporary structure,Aged 10 to 18 years,3 bedrooms,4
2021,E09000003,A caravan or other mobile or temporary structure,Aged 10 to 18 years,4 or more bedrooms,2
2021,E09000004,Whole house or bungalow,Aged 0 to 9 years,1 bedroom,85
2021,E09000004,Whole house or bungalow,Aged 0 to 9 years,2 bedrooms,3024
2021,E09000004,Whole house or bungalow,Aged 0 to 9 years,3 bedrooms,12862
2021,E09000004,Whole house or bungalow,Aged 0 to 9 years,4 or more bedrooms,7810
2021,E09000004,Whole house or bungalow,Aged 10 to 18 years,1 bedroom,52
2021,E09000004,Whole house or bungalow,Aged 10 to 18 years,2 bedrooms,1532
2021,E09000004,Whole house or bungalow,Aged 10 to 18 years,3 bedrooms,11746
2021,E09000004,Whole house or bungalow,Aged 10 to 18 years,4 or more bedrooms,9283
2021,E09000004,Whole house or bungalow: Detached,Aged 0 to 9 years,1 bedroom,12
2021,E09000004,Whole house or bungalow: Detached,Aged 0 to 9 years,2 bedrooms,248
2021,E09000004,Whole house or bungalow: Detached,Aged 0 to 9 years,3 bedrooms,781
2021,E09000004,Whole house or bungalow: Detached,Aged 0 to 9 years,4 or more bedrooms,1123
2021,E09000004,Whole house or bungalow: Detached,Aged 10 to 18 years,1 bedroom,1
2021,E09000004,Whole house or bungalow: Detached,Aged 10 to 18 years,2 bedrooms,111
2021,E09000004,Whole house or bungalow: Detached,Aged 10 to 18 years,3 bedrooms,655
2021,E09000004,Whole house or bungalow: Detached,Aged 10 to 18 years,4 or more bedrooms,1416
2021,E09000004,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,1 bedroom,42
2021,E09000004,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,2 bedrooms,1103
