date,geography_code,c_sex_name,c_age_name,c_cob_name,obs_value
2011,E09000007,Females,Age 0 to 15,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011,138
2011,E09000007,Females,Age 0 to 15,Europe: Other Europe: Rest of Europe,154
2011,E09000007,Females,Age 0 to 15,Africa: North Africa,15
2011,E09000007,Females,Age 0 to 15,Africa: Central and Western Africa,44
2011,E09000007,Females,Age 0 to 15,Africa: South and Eastern Africa,236
2011,E09000007,Females,Age 0 to 15,Africa: Africa not otherwise specified,0
2011,E09000007,Females,Age 0 to 15,Middle East and Asia: Middle East,101
2011,E09000007,Females,Age 0 to 15,Middle East and Asia: Eastern Asia,161
2011,E09000007,Females,Age 0 to 15,Middle East and Asia: Southern Asia,149
2011,E09000007,Females,Age 0 to 15,Middle East and Asia: South-East Asia,81
2011,E09000007,Females,Age 0 to 15,Middle East and Asia: Central Asia,7
2011,E09000007,Females,Age 0 to 15,The Americas and the Caribbean: North America and the Caribbean,513
2011,E09000007,Females,Age 0 to 15,The Americas and the Caribbean: Central and South America,82
2011,E09000007,Females,Age 0 to 15,Antarctica and Oceania (including Australasia),78
2011,E09000007,Females,Age 0 to 15,Other,0
2011,E09000007,Females,Age 16 to 24,Europe: United Kingdom: England,9469
2011,E09000007,Females,Age 16 to 24,Europe: United Kingdom: Northern Ireland,74
2011,E09000007,Females,Age 16 to 24,Europe: United Kingdom: Scotland,150
2011,E09000007,Females,Age 16 to 24,Europe: United Kingdom: Wales,140
2011,E09000007,Females,Age 16 to 24,Europe: United Kingdom: Great Britain not otherwise specified,0
2011,E09000007,Females,Age 16 to 24,Europe: United Kingdom: United Kingdom not otherwise specified,2
2011,E09000007,Females,Age 16 to 24,Europe: Ireland,96
2011,E09000007,Females,Age 16 to 24,Europe: Other Europe: EU countries: Member countries in March 2001,1418
2011,E09000007,Females,Age 16 to 24,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011,564
2011,E09000007,Females,Age 16 to 24,Europe: Other Europe: Rest of Europe,637
2011,E09000007,Females,Age 16 to 24,Africa: North Africa,112
2011,E09000007,Females,Age 16 to 24,Africa: Central and Western Africa,194
2011,E09000007,Females,Age 16 to 24,Africa: South and Eastern Africa,575
2011,E09000007,Females,Age 16 to 24,Africa: Africa not otherwise specified,5
2011,E09000007,Females,Age 16 to 24,Middle East and Asia: Middle East,284
2011,E09000007,Females,Age 16 to 24,Middle East and Asia: Eastern Asia,1168
2011,E09000007,Females,Age 16 to 24,Middle East and Asia: Southern Asia,629
2011,E09000007,Females,Age 16 to 24,Middle East and Asia: South-East Asia,628
2011,E09000007,Females,Age 16 to 24,Middle East and Asia: Central Asia,57
2011,E09000007,Females,Age 16 to 24,The Americas and the Caribbean: North America and the Caribbean,577
2011,E09000007,Females,Age 16 to 24,The Americas and the Caribbean: Central and South America,215
2011,E09000007,Females,Age 16 to 24,Antarctica and Oceania (including Australasia),215
2011,E09000007,Females,Age 16 to 24,Other,0
2011,E09000007,Females,Age 25 to 34,Europe: United Kingdom: England,10417
2011,E09000007,Females,Age 25 to 34,Europe: United Kingdom: Northern Ireland,150
2011,E09000007,Females,Age 25 to 34,Europe: United Kingdom: Scotland,390
2011,E09000007,Females,Age 25 to 34,Europe: United Kingdom: Wales,217
2011,E09000007,Females,Age 25 to 34,Europe: United Kingdom: Great Britain not otherwise specified,0
2011,E09000007,Females,Age 25 to 34,Europe: United Kingdom: United Kingdom not otherwise specified,2
2011,E09000007,Females,Age 25 to 34,Europe: Ireland,372
2011,E09000007,Females,Age 25 to 34,Europe: Other Europe: EU countries: Member countries in March 2001,3062
2011,E09000007,Females,Age 25 to 34,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011,1263
2011,E09000007,Females,Age 25 to 34,Europe: Other Europe: Rest of Europe,1048
2011,E09000007,Females,Age 25 to 34,Africa: North Africa,197
2011,E09000007,Females,Age 25 to 34,Africa: Central and Western Africa,267
2011,E09000007,Females,Age 25 to 34,Africa: South and Eastern Africa,1065
2011,E09000007,Females,Age 25 to 34,Africa: Africa not otherwise specified,3
2011,E09000007,Females,Age 25 to 34,Middle East and Asia: Middle East,623
2011,E09000007,Females,Age 25 to 34,Middle East and Asia: Eastern Asia,1031
2011,E09000007,Females,Age 25 to 34,Middle East and Asia: Southern Asia,1518
2011,E09000007,Females,Age 25 to 34,Middle East and Asia: South-East Asia,642
2011,E09000007,Females,Age 25 to 34,Middle East and Asia: Central Asia,51
2011,E09000007,Females,Age 25 to 34,The Americas and the Caribbean: North America and the Caribbean,1215
2011,E09000007,Females,Age 25 to 34,The Americas and the Caribbean: Central and South America,647
2011,E09000007,Females,Age 25 to 34,Antarctica and Oceania (including Australasia),1316
2011,E09000007,Females,Age 25 to 34,Other,0
